region_id,region_name,country_iso_alpha_3,pipeline_status,pop_size,avg_age,num_households,avg_household_size,avg_household_income,num_residence_loc,num_activity_loc,avg_num_activity,avg_travel_distance
160021258,Autauga,USA,9,53343,38.6,21019,2.5,67640,22786,1594,4.1,40.7
160021262,Baldwin,USA,9,170807,43.7,75940,2.2,71964,98597,9286,4.5,50.8
160021265,Barbour,USA,9,21113,40.8,9163,2.3,44891,14186,877,4.5,50.6
160021274,Bibb,USA,9,17394,40.4,6899,2.5,57499,9839,383,4.1,61.9
160021277,Blount,USA,9,52343,40.2,20630,2.5,57921,33124,1238,4.0,65.6
160021283,Bullock,USA,9,8098,40.6,3669,2.2,41684,5855,204,4.4,51.7
160021285,Butler,USA,9,15991,41.7,7047,2.3,47244,11867,741,4.4,46.9
160021289,Calhoun,USA,9,108192,40.1,44934,2.4,57775,55092,4239,4.6,36.4
160021295,Chambers,USA,9,30993,41.6,13607,2.3,49290,18713,822,4.3,42.2
160021301,Cherokee,USA,9,25718,42.1,10775,2.4,54242,17937,673,4.4,48.1
160021307,Chilton,USA,9,41500,39.7,16645,2.5,55581,22634,1175,4.1,58.7
160021309,Choctaw,USA,9,12047,44.3,5459,2.2,48657,8520,428,4.5,59.0
160021313,Clarke,USA,9,21263,43.2,9595,2.2,50268,13153,911,4.7,54.0
160021316,Clay,USA,9,12910,40.4,5308,2.4,50432,8214,276,4.4,50.7
160021319,Cleburne,USA,9,14057,40.3,5768,2.4,51060,8189,339,4.2,51.9
160021324,Coffee,USA,9,47058,39.7,19529,2.4,64176,25720,1489,4.5,35.9
160021325,Colbert,USA,9,49934,42.3,21937,2.3,55352,28358,2137,4.7,32.3
160021329,Conecuh,USA,9,10360,44.5,4708,2.2,39520,8637,310,4.5,50.5
160021331,Coosa,USA,9,9209,45.2,4204,2.2,49499,7171,110,3.9,74.9
160021334,Covington,USA,9,35854,41.9,15267,2.3,53682,25359,1152,4.5,43.1
160021337,Crenshaw,USA,9,12611,41.8,5343,2.4,52214,9080,312,4.2,58.6
160021339,Cullman,USA,9,74123,41.1,31041,2.4,54596,49590,2565,4.5,47.9
