region_id,region_name,country_iso_alpha_3,pipeline_status,pop_size,avg_age,num_households,avg_household_size,avg_household_income,num_residence_loc,num_activity_loc,avg_num_activity,avg_travel_distance
140002904,Alabama,USA,9,4375432,39.9,1851283,2.4,63389,2321508,171132,4.6,39.3
140002888,Arizona,USA,9,6207872,39,2462955,2.5,72666,2545305,201470,4.6,51.8
140002897,Arkansas,USA,9,2749032,39.2,1143850,2.4,60164,1402065,105496,4.6,36.5
140002883,California,USA,9,35512434,37.9,12848945,2.8,95226,12722095,1325891,4.6,51.5
140002886,Colorado,USA,9,5108055,37.9,2076105,2.5,87230,2446046,229709,4.7,35.1
140002925,Connecticut,USA,9,3301341,40.7,1357503,2.4,105082,1200103,155974,4.7,41.8
140002926,Delaware,USA,9,857320,40.6,351501,2.4,82454,347190,36608,4.6,33.5
140002924,District of Columbia,USA,9,568364,38.3,277416,2,116077,527026,41107,4.7,9.9
140002900,Florida,USA,9,17731317,42.3,7491995,2.4,71998,9076003,830439,4.6,37.4
140002903,Georgia,USA,9,9221064,37.7,3652964,2.5,73681,3692972,373307,4.6,36.9
140002927,Hawaii,USA,9,1273630,40.4,453964,2.8,94644,307296,48421,4.6,38.2
140002870,Idaho,USA,9,1548625,37.7,606678,2.6,66382,852894,62472,4.6,31.9
140002913,Illinois,USA,9,11909478,38.8,4804832,2.5,84192,5530319,485790,4.7,43.0
140002912,Indiana,USA,9,6171644,38.6,2529299,2.4,68026,3111133,227737,4.7,34.7
140002891,Iowa,USA,9,2967404,39,1245774,2.4,72220,1909259,133246,4.8,37.5
140002895,Kansas,USA,9,2726049,38.1,1117487,2.4,73562,1515892,121939,4.7,34.1
140002906,Kentucky,USA,9,4128443,39.2,1719211,2.4,63411,2286791,150720,4.6,31.1
140002899,Louisiana,USA,9,4153549,38.5,1732635,2.4,65954,1960525,180332,4.6,35.9
140002919,Maine,USA,9,1257197,42.9,552335,2.3,68870,722415,58716,4.7,55.5
140002918,Maryland,USA,9,5513403,39.2,2174307,2.5,102690,2675135,220390,4.6,34.4
140002921,Massachusetts,USA,9,6279232,40.2,2578153,2.4,100766,2668923,286304,4.7,40.9
140002914,Michigan,USA,9,9342056,39.9,3876979,2.4,70901,4562073,366433,4.7,42.7
140002873,Minnesota,USA,9,5218000,38.7,2141787,2.4,85656,2975879,219507,4.8,47.1
140002902,Mississippi,USA,9,2701950,38.7,1100709,2.5,57248,1366950,107131,4.6,39.4
140002893,Missouri,USA,9,5691742,39.3,2378343,2.4,69088,3101255,222793,4.7,39.5
140002876,Montana,USA,9,966294,40.6,418726,2.3,67304,650485,52754,4.7,44.4
140002894,Nebraska,USA,9,1814095,37.8,744678,2.4,73119,1107654,83449,4.8,34.2
140002885,Nevada,USA,9,2622732,38.7,1049899,2.5,73128,997731,90817,4.6,35.3
140002922,New Hampshire,USA,9,1263071,41.6,524971,2.4,90316,534782,60987,4.7,50.1
140002920,New Jersey,USA,9,8276752,39.7,3188118,2.6,104812,2561803,357600,4.7,32.7
140002890,New Mexico,USA,9,1853332,39.4,767579,2.4,63260,968076,69334,4.6,38.1
140002917,New York,USA,9,18114096,39.6,7256953,2.5,92895,6199840,761843,4.7,31.3
140002907,North Carolina,USA,9,9259097,39.3,3862281,2.4,69422,4382041,350179,4.6,37.2
140002871,North Dakota,USA,9,717602,37.8,310219,2.3,79647,563063,35885,4.8,45.7
140002911,Ohio,USA,9,10956987,39.7,4618865,2.4,70010,5395308,400587,4.7,37.6
140002892,Oklahoma,USA,9,3586947,38.1,1464080,2.4,66601,1936186,138252,4.6,37.4
140002884,Oregon,USA,9,3793438,40,1566319,2.4,74726,1830686,161645,4.6,33.9
140002915,Pennsylvania,USA,9,11900229,40.9,4991567,2.4,77083,4804867,517484,4.7,37.5
140002923,Rhode Island,USA,9,967731,40.8,410830,2.4,81572,432545,42444,4.7,25.5
140002901,South Carolina,USA,9,4433357,40.2,1867283,2.4,65759,2140929,175737,4.6,36.9
140002898,South Dakota,USA,9,797307,38.5,335169,2.4,70189,578163,42545,4.8,44.2
140002908,Tennessee,USA,9,6118618,39.4,2539688,2.4,67249,2947083,247401,4.6,34.8
140002896,Texas,USA,9,25013221,36.2,9400443,2.7,80023,10408130,868438,4.6,43.1
140002889,Utah,USA,9,2814363,33.4,934043,3,81663,1033425,92075,4.6,32.7
140002916,Vermont,USA,9,586886,42.1,257827,2.3,74322,341247,31659,4.7,42.7
140002905,Virginia,USA,9,7684795,39,3094255,2.5,93360,3789345,302874,4.6,34.3
140002872,Washington,USA,9,6803874,38.7,2746335,2.5,87479,3545743,263636,4.6,39.1
140002909,West Virginia,USA,9,1704571,41.8,735959,2.3,58408,974270,55495,4.6,33.5
140002910,Wisconsin,USA,9,5493220,39.6,2319473,2.4,73117,2961736,219084,4.8,42.5
140002887,Wyoming,USA,9,548797,38.5,229321,2.4,75490,323549,29584,4.7,51.2
